tweet_id,createdAt,context,consensus_prediction,consensus_target,consensus_sentiment,gemini_target,gemini_sentiment,gemini_reasoning,grok_target,grok_sentiment,grok_reasoning
1880726711589060934,2025-01-18 21:19:24+00:00,"@frankdegods: In the bull market the biggest risk to your bags is other bags ripping harder. Same happened with NFTs back in the day. 

New mint comes out and flips existing projects and causes mass capitulation across the board.

Same will happen all year with new launches. Adjust.
@Tyler_Solana: How do you win that game
@frankdegods: Be chronically online. Pay attention to new launches. Raise targets.",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880726568416473419,2025-01-18 21:18:50+00:00,"@frankdegods: In the bull market the biggest risk to your bags is other bags ripping harder. Same happened with NFTs back in the day. 

New mint comes out and flips existing projects and causes mass capitulation across the board.

Same will happen all year with new launches. Adjust.
@0xandre1: What do you think about AI coins?
@frankdegods: Still the main character, but massive shake up just happened.",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880725738527338593,2025-01-18 21:15:32+00:00,"@frankdegods: In the bull market the biggest risk to your bags is other bags ripping harder. Same happened with NFTs back in the day. 

New mint comes out and flips existing projects and causes mass capitulation across the board.

Same will happen all year with new launches. Adjust.",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880721057205850524,2025-01-18 20:56:56+00:00,"@frankdegods: I think all of Solana is basically trading TRUMP like it's 25M not 25B
@frankdegods: In case it's unclear, extremely bullish, leg to $47 starts soon (pls)",Prediction,$SOL,bullish,$SOL,bullish,Frank believes that Solana is undervalued and is predicting a significant price increase to $47.,No target found,No target found,No target found
1880720948619522557,2025-01-18 20:56:30+00:00,@frankdegods: I think all of Solana is basically trading TRUMP like it's 25M not 25B,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880720675666907214,2025-01-18 20:55:25+00:00,@frankdegods: I want to buy dips today so badly but I just keep adding TRUMP because man if it rips to $40 today it's going to be brutal for everything else... I don't know all of this is unprecedented.,Prediction,$TRUMP,bullish,$TRUMP,bullish,"Frank wants to buy dips but is adding $TRUMP because he believes it has the potential to rip to $40 today, which would be detrimental to other tokens.",No target found,No target found,No target found
1880683180631757040,2025-01-18 18:26:26+00:00,"@frankdegods: biggest takeaway is raise targets for everything lol
@SolanaDali: Literally 5x the targets
@frankdegods: 30x the targets",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880683004307321250,2025-01-18 18:25:44+00:00,@frankdegods: biggest takeaway is raise targets for everything lol,Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880583105477742665,2025-01-18 11:48:46+00:00,"@frankdegods: trump &amp; bitcoin barbell might be the safest, easiest 10x over the next 4 years

ai coins &amp; hyperliquid the riskier barbell for a potential 10x-100x in 1 year
@wizardofsoho: lol already bailed on AI? Damn
@frankdegods: bailed? lol",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
1880581261363929587,2025-01-18 11:41:26+00:00,"@frankdegods: This is bull market Twitter
@frankdegods: First time it's felt like it in 4 years to be honest",Prediction,No target found,No sentiment,No target found,No target found,No target found,No target found,No target found,No target found
