tweet_id,createdAt,context,consensus_target,consensus_sentiment,target_type,target_token,starting_price,ending_price,pct_change,time_elapsed,error_type
1880726711589060934,2025-01-18 21:19:24+00:00,@frankdegods: In the bull market the biggest risk to your bags is other bags ripping harder. Same happened with NFTs back in the day. New mint comes out and flips existing projects and causes mass capitulation across the board. Same will happen all year with new launches. Adjust. @Tyler_Solana: How do you win that game @frankdegods: Be chronically online. Pay attention to new launches. Raise targets.,NFTs,bearish,category,non-fungible-tokens-nft,4.97,4.97,0.0,15,
1880726568416473419,2025-01-18 21:18:50+00:00,"@frankdegods: In the bull market the biggest risk to your bags is other bags ripping harder. Same happened with NFTs back in the day. New mint comes out and flips existing projects and causes mass capitulation across the board. Same will happen all year with new launches. Adjust. @0xandre1: What do you think about AI coins? @frankdegods: Still the main character, but massive shake up just happened.",NFTs,bearish,category,non-fungible-tokens-nft,4.97,4.97,0.0,15,
1880725738527338593,2025-01-18 21:15:32+00:00,@frankdegods: In the bull market the biggest risk to your bags is other bags ripping harder. Same happened with NFTs back in the day. New mint comes out and flips existing projects and causes mass capitulation across the board. Same will happen all year with new launches. Adjust.,NFTs,bearish,category,non-fungible-tokens-nft,4.97,4.97,0.0,15,
1880721057205850524,2025-01-18 20:56:56+00:00,"@frankdegods: I think all of Solana is basically trading TRUMP like it's 25M not 25B @frankdegods: In case it's unclear, extremely bullish, leg to $47 starts soon (pls)",$TRUMP,bullish,token,official-trump,28.929288312884683,18.51,-36.01640040430612,15,
1880720675666907214,2025-01-18 20:55:25+00:00,@frankdegods: I want to buy dips today so badly but I just keep adding TRUMP because man if it rips to $40 today it's going to be brutal for everything else... I don't know all of this is unprecedented.,$TRUMP,bullish,token,official-trump,28.929288312884683,18.51,-36.01640040430612,15,
1880683180631757040,2025-01-18 18:26:26+00:00,@frankdegods: biggest takeaway is raise targets for everything lol @SolanaDali: Literally 5x the targets @frankdegods: 30x the targets,$SOL,bullish,token,solana,219.77905400813705,214.35,-2.4702326764660776,15,
1880583105477742665,2025-01-18 11:48:46+00:00,"@frankdegods: trump &amp; bitcoin barbell might be the safest, easiest 10x over the next 4 years ai coins &amp; hyperliquid the riskier barbell for a potential 10x-100x in 1 year @wizardofsoho: lol already bailed on AI? Damn @frankdegods: bailed? lol",$BTC,bullish,token,bitcoin,104160.69358484232,101076.0,-2.961475657158279,15,
1880577632322154911,2025-01-18 11:27:01+00:00,"@frankdegods: Over the next 3 days, TRUMP will have a biblical run similar to the run that happened with Elon and DOGE leading up to SNL @frankdegods: That'll be the local top, maybe? You never know with this guy.",$TRUMP,bullish,token,official-trump,28.929288312884683,18.51,-36.01640040430612,16,
1880577439958761521,2025-01-18 11:26:15+00:00,"@frankdegods: Over the next 3 days, TRUMP will have a biblical run similar to the run that happened with Elon and DOGE leading up to SNL",$TRUMP,bullish,token,official-trump,28.929288312884683,18.51,-36.01640040430612,16,
1880571461402030095,2025-01-18 11:02:30+00:00,"@frankdegods: trump &amp; bitcoin barbell might be the safest, easiest 10x over the next 4 years ai coins &amp; hyperliquid the riskier barbell for a potential 10x-100x in 1 year",$BTC,bullish,token,bitcoin,104160.69358484232,101076.0,-2.961475657158279,16,
1880570677687996925,2025-01-18 10:59:23+00:00,@frankdegods: ngl i think i might long on binance lol,$BNB,bullish,token,binancecoin,721.1359383883954,608.15,-15.667772520240492,16,
1880558370815623394,2025-01-18 10:10:29+00:00,"@frankdegods: Realistically, we're in the 4th inning 5th inning is trump first 90 day plan 6th inning is regulation getting fixed 7th inning is when more people are launching tokens than companies 8th inning is when they start printing the money again 9th inning is BTC at $2.1M",$BTC,bullish,token,bitcoin,104160.69358484232,101076.0,-2.961475657158279,16,
1880556941791072409,2025-01-18 10:04:48+00:00,@frankdegods: a lot of people just got the biggest dopamine rush for top blasting a coin at 1B now they will have ungodly sums of money onchain is about to go major league strap in. your chances of getting really rich are actually about to increase. pay attention. lock in.,$ONCHAIN,bullish,token,dragonchain,0.0590128357078407,0.063891,8.266276706833589,16,
1880531591950487824,2025-01-18 08:24:04+00:00,@Web3Quant: lot of liquidity will move back to memes @frankdegods: still probably will go back to ai coins 🤷‍♂️,Memes,bearish,category,meme-token,0.279169,0.279169,0.0,16,
1880519474673250402,2025-01-18 07:35:55+00:00,@frankdegods: unfortunately i think celeb coins will be back maybe some a-listers this time,Memes,bearish,category,meme-token,0.279169,0.279169,0.0,16,
1880497137433399637,2025-01-18 06:07:10+00:00,@notthreadguy: hawk tuah was like 30 days too early man @frankdegods: if hawk tuah launched tomorrow it would unironically go to $3B-$4B instantly,$HAWK,bullish,token,hawk-tuah,0.0003708628999366,0.00016577,-55.30154134362536,16,
1880495754508419482,2025-01-18 06:01:40+00:00,@frankdegods: This the type of shit that sends Solana to $1000 ngl can't price this in,$SOL,bullish,token,solana,219.77905400813705,214.35,-2.4702326764660776,16,
1880494025163305247,2025-01-18 05:54:48+00:00,"@frankdegods: the groups of people that just made genny wealth on trump: -chronically online chads -top blast chads -trigger-happy trenchers this capital will 100% go right back into the trenches good guys winning today imo @frankdegods: also people that hold a lot of spot sol are the real winners, long term",$SOL,bullish,token,solana,219.77905400813705,214.35,-2.4702326764660776,16,
1880488312470921669,2025-01-18 05:32:06+00:00,"@frankdegods: out of everyone in the house, threadguy made the sickest trade i've seen in a minute. g fuckin g. @notthreadguy: love you @frankdegods: buy some ai coins when you close this one out buddy g.g.",AI,bullish,token,ai-network,0.0081143758493902,0.00753568,-7.131735824558004,16,
1880466051202486288,2025-01-18 04:03:38+00:00,@frankdegods: Registered securities. This cycle. Book it.,ICO,bullish,token,biconomy,0.3122953916352254,0.182825,-41.45766959842062,16,
1880458279501066481,2025-01-18 03:32:45+00:00,@frankdegods: Trump winning will be remembered as the moment that ushered in the Golden Bull Run of the 2020's. @frankdegods: 🎯,$BTC,bullish,token,bitcoin,104160.69358484232,101076.0,-2.961475657158279,16,
1880449932269932740,2025-01-18 02:59:35+00:00,"@frankdegods: Yes, your coins are down right now but who cares? The president of the united states just launched a memecoin on the Solana blockchain. Throw everything you thought you knew out the window. It's going to get insane. We were right. We are right. Everyone is coming HERE.",$SOL,bullish,token,solana,219.77905400813705,214.35,-2.4702326764660776,16,
1880446697383555559,2025-01-18 02:46:44+00:00,@frankdegods: Trump might actually send Bitcoin to $1M,$BTC,bullish,token,bitcoin,104160.69358484232,101076.0,-2.961475657158279,16,
1880153016722157720,2025-01-17 07:19:45+00:00,"@frankdegods: For some reason this part of the cycle has been crystal clear for me so far. The good news is there are many, many opportunities ahead of us. Every developer that gets rich in the Solana trenches means 100 more that will join and want to do the same. This started with AI but it will spread to much, much more than just AI. @GojoCryptic: &amp; $MLG will be the coin to lead the entire charge on GAMING @frankdegods: 🎯",$MLG,bullish,token,360noscope420blazeit,0.0972562897463679,0.114589,17.821685670750536,17,
1880099210395283677,2025-01-17 03:45:56+00:00,"@frankdegods: The reason onchain crypto stagnates & accelerates is strictly because of 1 variable. It's not the macro market. It's talent. Talented people building cool shit that people want to speculate on. That's it. So, back in October, I start to notice that these regular AI devs were getting really fucking rich overnight. That's actually what made it click. It wasn't the tech, it wasn't the typos, it wasn't even the AI itself. An open source developer making millions in a week does not go unnoticed. They have friends. Their friends start to notice. Now they want to launch something too. The cycle continues & accelerates. Soon, everyone working in AI & Silicon Valley will have a friend that made a Pump Fun and now has millions. It'll get obnoxious. People working in Web2 will start to feel retarded for not being in crypto. They're going to join the space. Some will be grifters, but some will be the perfect combination of talent & integrity. They're going to build incredible things that disrupt the current winners. This isn't about macro markets, it's about talented people getting to bootstrap their ambitious ideas in the open, uncensored internet capital markets. Fuck the macro. That's the bet. You might be late to the first wave of AI, but you're early to the internet capital markets. @frankdegods: 🎯",AI,bullish,token,ai-network,0.0080610139371241,0.00753568,-6.516970957025707,17,
1880094434915938497,2025-01-17 03:26:58+00:00,"@Aelio33: These bros have been getting faded a lot on the TL but imo they're gonna be proven right in a few months Just like people will be saying ""Murad was right"" when the memecoin super cycle is further validated (which it will be imo) People will also be saying ""Frank/Threadguy were right"" when AI super cycle is validated (which it will be imo) Don't fud yourself out of a generational opportunity This trade is actually really easy @frankdegods: 🎯",Memes,bullish,category,meme-token,0.279169,0.279169,0.0,17,
1880099210395283677,2025-01-17 03:45:56+00:00,"@frankdegods: The reason onchain crypto stagnates & accelerates is strictly because of 1 variable. It's not the macro market. It's talent. Talented people building cool shit that people want to speculate on. That's it. So, back in October, I start to notice that these regular AI devs were getting really fucking rich overnight. That's actually what made it click. It wasn't the tech, it wasn't the typos, it wasn't even the AI itself. An open source developer making millions in a week does not go unnoticed. They have friends. Their friends start to notice. Now they want to launch something too. The cycle continues & accelerates. Soon, everyone working in AI & Silicon Valley will have a friend that made a Pump Fun and now has millions. It'll get obnoxious. People working in Web2 will start to feel retarded for not being in crypto. They're going to join the space. Some will be grifters, but some will be the perfect combination of talent & integrity. They're going to build incredible things that disrupt the current winners. This isn't about macro markets, it's about talented people getting to bootstrap their ambitious ideas in the open, uncensored internet capital markets. Fuck the macro. That's the bet. You might be late to the first wave of AI, but you're early to the internet capital markets. @frankdegods: 🎯",AI,bullish,token,ai-network,0.0080610139371241,0.00753568,-6.516970957025707,17,
1880094434915938497,2025-01-17 03:26:58+00:00,"@Aelio33: These bros have been getting faded a lot on the TL but imo they're gonna be proven right in a few months Just like people will be saying ""Murad was right"" when the memecoin super cycle is further validated (which it will be imo) People will also be saying ""Frank/Threadguy were right"" when AI super cycle is validated (which it will be imo) Don't fud yourself out of a generational opportunity This trade is actually really easy @frankdegods: 🎯",Memes,bullish,category,meme-token,0.279169,0.279169,0.0,17,
